Time [s],CH1 [V],CH2 [V]
8.000000e-07,-0.088000000000, -0.056000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.088000000000, -0.064000000000,
8.000000e-07,-0.104000000000, -0.064000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.096000000000, -0.064000000000,
8.000000e-07,-0.088000000000, -0.072000000000,
8.000000e-07,-0.096000000000, -0.072000000000,
8.000000e-07,-0.088000000000, -0.072000000000,
8.000000e-07,-0.088000000000, -0.064000000000,
8.000000e-07,-0.088000000000, -0.072000000000,
8.000000e-07,-0.088000000000, -0.072000000000,
8.000000e-07,-0.096000000000, -0.072000000000,
8.000000e-07,-0.088000000000, -0.072000000000,
8.000000e-07,-0.096000000000, -0.072000000000,
8.000000e-07,-0.096000000000, -0.080000000000,
8.000000e-07,-0.096000000000, -0.072000000000,
8.000000e-07,-0.096000000000, -0.080000000000,
8.000000e-07,-0.104000000000, -0.072000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.104000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.120000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.080000000000,
8.000000e-07,-0.112000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.112000000000, -0.096000000000,
8.000000e-07,-0.104000000000, -0.096000000000,
8.000000e-07,-0.104000000000, -0.088000000000,
8.000000e-07,-0.128000000000, -0.096000000000,
8.000000e-07,-0.120000000000, -0.096000000000,
8.000000e-07,-0.128000000000, -0.088000000000,
