Freq,V_in,V_out
10,2.5299342830602245, 2.497257554413596
20,2.4972347139765763,2.4536685182642446
30,2.4529537707620137,2.413327677691296
40,2.4304605971281603,2.3754701926773307
50,2.315316932505533,2.22127094055037
100,2.1353172608610165,1.841980839302436
200,1.9715842563101478,1.2712491875062017
300,1.8753486945830582,0.961948801633118
400,1.810610512281301,0.8055683455352681
500,1.8108512008717192,0.659595083257862
600,1.7707316461437508,0.528268672131323
700,1.750685404928595,0.4746763473630957
800,1.7648392454313206,0.4433746905008693
900,1.721734395106844,0.3862659078501426
1000,1.7055016433497394,0.34120989628360676
1100,1.7287542494151806,0.34015441853304706
1200,1.7197433775933115,0.3359058370760737
1300,1.7462849466519055,0.3221539973998623
1400,1.7218395184895758,0.3101410484356991
1500,1.7117539259732941,0.3015305515283528
1600,1.7693129753784311,0.29096688913232135
1700,1.7354844739902693,0.26964434028897715
1800,1.7413505640937585,0.26184046737481587
